game_id,season,week,gameday,home_team,away_team,home_elo_before,away_elo_before,elo_diff,home_elo_with_hfa_diff,elo_home_win_prob,home_elo_after,away_elo_after
2018_02_MIA_NYJ,2018,2,2018-09-16,NYJ,MIA,1511.569935046895,1508.430064953105,3.1398700937897956,58.139870093789796,0.5828976542102174,1499.9119819626906,1520.0880180373094
2018_02_KC_PIT,2018,2,2018-09-16,PIT,KC,1501.569935046895,1511.569935046895,-10.0,45.0,0.5644004902404213,1490.2819252420866,1522.8579448517032
2018_02_PHI_TB,2018,2,2018-09-16,TB,PHI,1511.569935046895,1508.430064953105,3.1398700937897956,58.139870093789796,0.5828976542102174,1519.9119819626906,1500.0880180373094
2018_02_HOU_TEN,2018,2,2018-09-16,TEN,HOU,1491.569935046895,1491.569935046895,0.0,55.0,0.5784967523447427,1500.0,1483.1398700937898
2018_02_IND_WAS,2018,2,2018-09-16,WAS,IND,1511.569935046895,1488.430064953105,23.139870093789796,78.1398700937898,0.6105938804982088,1499.3580574369307,1500.6419425630693
2018_02_ARI_LA,2018,2,2018-09-16,LA,ARI,1511.569935046895,1488.430064953105,23.139870093789796,78.1398700937898,0.6105938804982088,1519.3580574369307,1480.6419425630693
2018_02_DET_SF,2018,2,2018-09-16,SF,DET,1491.569935046895,1488.430064953105,3.1398700937897956,58.139870093789796,0.5828976542102174,1499.9119819626906,1480.0880180373094
2018_02_OAK_DEN,2018,2,2018-09-16,DEN,OAK,1508.430064953105,1488.430064953105,20.0,75.0,0.6062878237854281,1516.3043084773965,1480.5558214288137
2018_02_NE_JAX,2018,2,2018-09-16,JAX,NE,1511.569935046895,1508.430064953105,3.1398700937897956,58.139870093789796,0.5828976542102174,1519.9119819626906,1500.0880180373094
2018_02_NYG_DAL,2018,2,2018-09-16,DAL,NYG,1491.569935046895,1488.430064953105,3.1398700937897956,58.139870093789796,0.5828976542102174,1499.9119819626906,1480.0880180373094
2018_02_SEA_CHI,2018,2,2018-09-17,CHI,SEA,1491.569935046895,1491.569935046895,0.0,55.0,0.5784967523447427,1500.0,1483.1398700937898
2018_03_NYJ_CLE,2018,3,2018-09-20,CLE,NYJ,1489.7180747579134,1499.9119819626906,-10.193907204777133,44.80609279522287,0.5641260450759294,1498.4355538563948,1491.1945028642092
2018_03_NO_ATL,2018,3,2018-09-23,ATL,NO,1500.476569732828,1497.1420551482968,3.3345145845312345,58.334514584531235,0.5831700449697351,1488.8131688334333,1508.8054560476915
2018_03_DEN_BAL,2018,3,2018-09-23,BAL,DEN,1500.0880180373094,1516.3043084773965,-16.21629044008705,38.78370955991295,0.555583562143228,1508.976346794445,1507.415979720261
2018_03_CIN_CAR,2018,3,2018-09-23,CAR,CIN,1499.523430267172,1519.9119819626906,-20.388551695518572,34.61144830448143,0.5496457568740587,1508.530515129691,1510.9048971001716
2018_03_NYG_HOU,2018,3,2018-09-23,HOU,NYG,1483.1398700937898,1480.0880180373094,3.0518520564803566,58.05185205648036,0.5827744627651321,1471.4843808384871,1491.743507292612
