season,week,game_id,gameday,home_team,away_team,home_score,away_score,home_team_won,home_point_diff
2018,7,2018_07_BUF_IND,2018-10-21,IND,BUF,37.0,5.0,1,32.0
2018,7,2018_07_HOU_JAX,2018-10-21,JAX,HOU,7.0,20.0,0,-13.0
2018,7,2018_07_DET_MIA,2018-10-21,MIA,DET,21.0,32.0,0,-11.0
2018,7,2018_07_MIN_NYJ,2018-10-21,NYJ,MIN,17.0,37.0,0,-20.0
2018,7,2018_07_CAR_PHI,2018-10-21,PHI,CAR,17.0,21.0,0,-4.0
2018,7,2018_07_CLE_TB,2018-10-21,TB,CLE,26.0,23.0,1,3.0
2018,7,2018_07_NO_BAL,2018-10-21,BAL,NO,23.0,24.0,0,-1.0
2018,7,2018_07_LA_SF,2018-10-21,SF,LA,10.0,39.0,0,-29.0
2018,7,2018_07_DAL_WAS,2018-10-21,WAS,DAL,20.0,17.0,1,3.0
2018,7,2018_07_CIN_KC,2018-10-21,KC,CIN,45.0,10.0,1,35.0
2018,7,2018_07_TEN_LAC,2018-10-21,LAC,TEN,20.0,19.0,1,1.0
2018,7,2018_07_NYG_ATL,2018-10-22,ATL,NYG,23.0,20.0,1,3.0
2018,8,2018_08_MIA_HOU,2018-10-25,HOU,MIA,42.0,23.0,1,19.0
2018,8,2018_08_BAL_CAR,2018-10-28,CAR,BAL,36.0,21.0,1,15.0
2018,8,2018_08_NYJ_CHI,2018-10-28,CHI,NYJ,24.0,10.0,1,14.0
2018,8,2018_08_TB_CIN,2018-10-28,CIN,TB,37.0,34.0,1,3.0
2018,8,2018_08_SEA_DET,2018-10-28,DET,SEA,14.0,28.0,0,-14.0
2018,8,2018_08_DEN_KC,2018-10-28,KC,DEN,30.0,23.0,1,7.0
2018,8,2018_08_WAS_NYG,2018-10-28,NYG,WAS,13.0,20.0,0,-7.0
2018,8,2018_08_CLE_PIT,2018-10-28,PIT,CLE,33.0,18.0,1,15.0
2018,8,2018_08_IND_OAK,2018-10-28,OAK,IND,28.0,42.0,0,-14.0
2018,8,2018_08_SF_ARI,2018-10-28,ARI,SF,18.0,15.0,1,3.0
2018,8,2018_08_GB_LA,2018-10-28,LA,GB,29.0,27.0,1,2.0
2018,8,2018_08_NO_MIN,2018-10-28,MIN,NO,20.0,30.0,0,-10.0
2018,8,2018_08_PHI_JAX,2018-10-28,JAX,PHI,18.0,24.0,0,-6.0
2018,8,2018_08_NE_BUF,2018-10-29,BUF,NE,6.0,25.0,0,-19.0
2018,9,2018_09_OAK_SF,2018-11-01,SF,OAK,34.0,3.0,1,31.0
2018,9,2018_09_PIT_BAL,2018-11-04,BAL,PIT,16.0,23.0,0,-7.0
2018,9,2018_09_CHI_BUF,2018-11-04,BUF,CHI,9.0,41.0,0,-32.0
2018,9,2018_09_TB_CAR,2018-11-04,CAR,TB,42.0,28.0,1,14.0
2018,9,2018_09_KC_CLE,2018-11-04,CLE,KC,21.0,37.0,0,-16.0
2018,9,2018_09_NYJ_MIA,2018-11-04,MIA,NYJ,13.0,6.0,1,7.0
2018,9,2018_09_DET_MIN,2018-11-04,MIN,DET,24.0,9.0,1,15.0
2018,9,2018_09_ATL_WAS,2018-11-04,WAS,ATL,14.0,38.0,0,-24.0
2018,9,2018_09_HOU_DEN,2018-11-04,DEN,HOU,17.0,19.0,0,-2.0
2018,9,2018_09_LAC_SEA,2018-11-04,SEA,LAC,17.0,25.0,0,-8.0
2018,9,2018_09_LA_NO,2018-11-04,NO,LA,45.0,35.0,1,10.0
2018,9,2018_09_GB_NE,2018-11-04,NE,GB,31.0,17.0,1,14.0
2018,9,2018_09_TEN_DAL,2018-11-05,DAL,TEN,14.0,28.0,0,-14.0
2018,10,2018_10_CAR_PIT,2018-11-08,PIT,CAR,52.0,21.0,1,31.0
2018,10,2018_10_DET_CHI,2018-11-11,CHI,DET,34.0,22.0,1,12.0
2018,10,2018_10_NO_CIN,2018-11-11,CIN,NO,14.0,51.0,0,-37.0
2018,10,2018_10_ATL_CLE,2018-11-11,CLE,ATL,28.0,16.0,1,12.0
2018,10,2018_10_JAX_IND,2018-11-11,IND,JAX,29.0,26.0,1,3.0
2018,10,2018_10_ARI_KC,2018-11-11,KC,ARI,26.0,14.0,1,12.0
2018,10,2018_10_BUF_NYJ,2018-11-11,NYJ,BUF,10.0,41.0,0,-31.0
2018,10,2018_10_WAS_TB,2018-11-11,TB,WAS,3.0,16.0,0,-13.0
2018,10,2018_10_NE_TEN,2018-11-11,TEN,NE,34.0,10.0,1,24.0
2018,10,2018_10_LAC_OAK,2018-11-11,OAK,LAC,6.0,20.0,0,-14.0
2018,10,2018_10_MIA_GB,2018-11-11,GB,MIA,31.0,12.0,1,19.0
2018,10,2018_10_SEA_LA,2018-11-11,LA,SEA,36.0,31.0,1,5.0
2018,10,2018_10_DAL_PHI,2018-11-11,PHI,DAL,20.0,27.0,0,-7.0
2018,10,2018_10_NYG_SF,2018-11-12,SF,NYG,23.0,27.0,0,-4.0
2018,11,2018_11_GB_SEA,2018-11-15,SEA,GB,27.0,24.0,1,3.0
2018,11,2018_11_DAL_ATL,2018-11-18,ATL,DAL,19.0,22.0,0,-3.0
2018,11,2018_11_CIN_BAL,2018-11-18,BAL,CIN,24.0,21.0,1,3.0
2018,11,2018_11_CAR_DET,2018-11-18,DET,CAR,20.0,19.0,1,1.0
2018,11,2018_11_TEN_IND,2018-11-18,IND,TEN,38.0,10.0,1,28.0
2018,11,2018_11_PIT_JAX,2018-11-18,JAX,PIT,16.0,20.0,0,-4.0
2018,11,2018_11_TB_NYG,2018-11-18,NYG,TB,38.0,35.0,1,3.0
2018,11,2018_11_HOU_WAS,2018-11-18,WAS,HOU,21.0,23.0,0,-2.0
2018,11,2018_11_OAK_ARI,2018-11-18,ARI,OAK,21.0,23.0,0,-2.0
2018,11,2018_11_DEN_LAC,2018-11-18,LAC,DEN,22.0,23.0,0,-1.0
