season,week,team,off_epa_per_play_before,def_epa_allowed_per_play_before,last3_off_epa_per_play,last3_def_epa_allowed_per_play
2020,11,LV,0.10117883615560465,0.11199011861129735,0.14352253576119742,-0.07444371158878009
2020,12,LV,0.11364867580924065,0.13884429693964784,0.1734663744767507,0.053512548406918846
2020,13,LV,0.04291082888233418,0.1171727348145218,-0.1275365799665451,-0.01554304858048757
2020,14,LV,0.042522344978744644,0.11579475995790156,-0.14770612865686417,0.1233596329887708
2020,15,LV,0.03926092422282393,0.1349245630501263,-0.22709330699096122,0.13642748445272446
2020,16,LV,0.04597123428666499,0.14279989120534775,0.05423094052821398,0.24728339165449142
2020,17,LV,0.04386395215988159,0.14082669461261313,0.04516814493884643,0.25152889639139175
2021,1,LV,0.0,0.0,0.0,0.0
2021,2,LV,0.017037434455675956,-0.04795818617849639,0.01703743450343609,-0.04795818775892258
2021,3,LV,0.10742871190460634,-0.025195741262592254,0.11731525417417288,-0.023163380683399737
2021,4,LV,0.07447500789866728,-0.043204150199890136,0.08329075885315736,-0.03923263563774526
2021,5,LV,0.012301193677991736,-0.019094044472271705,-7.616107662518819e-05,-0.007592894524956743
2021,6,LV,-0.022117380559797117,-0.015025543879313642,-0.13207770511507988,-0.006870073809598883
2021,7,LV,0.02326926841833904,-0.01249762793916362,-0.029135942459106445,0.01638762777050336
2021,9,LV,0.05516130908365525,-0.00664913929233511,0.13363788028558096,0.010243215908606848
2021,10,LV,0.04189199278253386,-0.010804118750230322,0.17729895313580832,-0.007089723910515507
2021,11,LV,0.023451422974598218,0.038305367855046756,0.014660964409510294,0.12345478311181068
2021,12,LV,0.0006600417099989854,0.03625875976743613,-0.1621787945429484,0.12014533951878548
2021,13,LV,0.00840150000732069,0.04076324739763813,-0.12265332788228989,0.16425665840506554
2021,14,LV,0.0061834759323873886,0.03927714789091651,-0.07495239563286304,0.04119466928144296
2021,15,LV,-0.016731368170844182,0.058823556611032196,-0.08256388890246551,0.15161079727113247
2021,16,LV,-0.01616366449700886,0.05423625606867668,-0.10927279914418857,0.11689042362074058
2021,17,LV,-0.021269080733031576,0.041284113903025596,-0.13305696286261082,0.025373625258604687
2021,18,LV,-0.015333089656485823,0.03810144680649487,-0.008409213895599047,-0.09722527799506982
2021,19,LV,-0.01908126517907897,0.044917387325977276,-0.02862665057182312,-0.0499219416330258
2022,1,LV,0.0,0.0,0.0,0.0
2022,2,LV,-0.13955260996232954,0.08488462841699994,-0.13955260813236237,0.0848846286535263
2022,3,LV,-0.10878134582002284,0.05503022253930152,-0.10979023575782776,0.05820225365459919
2022,4,LV,-0.03378223336261252,0.09070390584517499,-0.039757793148358665,0.10112001622716586
2022,5,LV,-0.013513614423573017,0.0352588559760422,0.019521065056324005,0.009111216912666956
2022,7,LV,0.019433000217230555,0.07247234990421575,0.10199827204147975,0.0666272242863973
2022,8,LV,0.06357105963868522,0.06990323243317781,0.1766410544514656,0.023486025631427765
2022,9,LV,0.005901613031600263,0.08085218849095628,0.03792562087376913,0.13604859759410223
